ID,YEAR,SEX,ETHNICITY,FSE,AdmitMode,FirstSch,CurrSch,ParIncome,FatherEd,MotherEd,FirstGen,PGPA_NS,PGPA_BA,PGPA_EN,PGPA_LA,HS Calc,UTMA,ALEKS DATE-1,AGGR SCORE-1,RADICALS-1,NUMBERS-1,EQUATIONS-1,FUNCTIONS-1,POLYNOMIALS-1,RATIONAL-EXP-1,LOGARITHMS-1,TRIG-1,ALEKS DATE-H,AGGR SCORE-H,RADICALS-H,NUMBERS-H,EQUATIONS-H,FUNCTIONS-H,POLYNOMIALS-H,RATIONAL-EXP-H,LOGARITHMS-H,TRIG-H,SATQ,SATV,SATTot,ACTMath,ACTENG,ACTComp,AP-BIO,AP-CALC-AB,AP-CALC-BC,AP-CALC-AB-SUB,AP-CHEM,AP-CS-A,AP-CS-AB,UT-GPA,Math Course,Math Grade,Chem Course,Chem Grade,Bio Course,Bio Grade,CS Course,CS Grade,Math GPA,Math P/F
1,2014,M,,20132,6,3,3,F,3,4,N,,,,,,,,,,,,,,,,,9/3/13,68,88,100,81,59,86,65,7,56,520,510,1030,20,23,22,,,,,,,,1.923,,,,,,,,,,
2,2014,M,,20129,2,U,U,A,2,2,Y,2.353,2.615,2.234,2.507,R,,9/2/14,65,71,100,88,62,91,55,7,44,9/2/14,65,71,100,88,62,91,55,7,44,,,,20,15,17,,,,,,,,2.1538,,,,,,,,,,
3,2014,W,,20149,2,L,L,A,3,3,N,3.423,3.423,3.234,3.491,,12,8/10/14,79,82,100,88,85,91,65,43,66,8/21/14,92,100,100,100,97,91,90,79,81,,,,26,34,30,,,,,,,,3.78,408K,Q,,,,,,,0,0
4,2014,M,,20149,2,2,2,E,4,4,N,4.093,3.962,3.783,3.816,A,13,6/1/14,92,100,100,100,94,91,85,50,97,6/1/14,92,100,100,100,94,91,85,50,97,760,660,1420,34,32,32,,,4,3,,,,3.8453,408L,A,,,,,,,4,1
5,2014,M,,20149,2,4,4,A,5,5,N,3.713,3.441,3.407,3.456,A,17,5/25/14,90,94,100,96,100,91,80,79,78,5/30/14,91,94,100,96,100,91,80,79,81,770,670,1440,29,30,32,4,,5,5,4,3,,3.3607,,,,,,,,,,
6,2014,W,,20149,4,E,E,B,,,U,,,,,,,8/7/14,36,35,94,42,41,32,15,0,28,8/14/14,70,71,100,88,74,91,45,14,59,560,620,1180,23,24,26,,,,,,,,2.75,,,301,C,,,,,,
7,2014,W,,20139,6,L,E,B,4,4,N,,,,,,,8/17/14,62,71,100,69,59,86,50,14,47,1/5/14,85,94,100,96,91,91,95,50,62,,,,,,,,,,,,,,2.3,408C,C,,,,,311,D,2,1
8,2014,W,,20139,2,2,2,B,2,2,Y,3.129,3.187,2.969,3.172,R,14,8/6/14,87,88,100,96,91,91,95,50,75,8/6/14,87,88,100,96,91,91,95,50,75,630,590,1220,23,26,26,,2,,,2,,,3.1538,408K,C,,,,,,,2,1
9,2014,M,,20149,2,2,2,H,5,5,N,3.523,3.677,3.384,3.683,A,16,6/3/14,92,94,100,100,97,91,90,64,88,6/3/14,92,94,100,100,97,91,90,64,88,660,690,1350,34,32,33,,4,,,,1,,3,,,,,,,,,,
10,2014,W,,20149,2,4,4,I,5,4,N,3.953,3.172,3.511,3.58,A,16,6/3/14,94,100,100,100,100,91,100,71,84,6/3/14,94,100,100,100,100,91,100,71,84,750,790,1540,,,,5,5,5,5,,,,2.5123,408M,C+,301,B-,206L,B,,,2.333,1
